team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
BAL,2011,182,55,31,20,0.3021978021978022,0.17032967032967034,0.10989010989010989
CHI,2011,196,59,35,30,0.3010204081632653,0.17857142857142858,0.15306122448979592
KC,2011,181,54,28,37,0.2983425414364641,0.15469613259668508,0.20441988950276244
MIA,2011,188,56,31,32,0.2978723404255319,0.16489361702127658,0.1702127659574468
HOU,2011,179,51,35,25,0.2849162011173184,0.19553072625698323,0.13966480446927373
SF,2011,189,52,27,23,0.2751322751322751,0.14285714285714285,0.12169312169312169
SEA,2011,183,50,37,28,0.273224043715847,0.20218579234972678,0.15300546448087432
DET,2011,194,51,30,36,0.26288659793814434,0.15463917525773196,0.18556701030927836
DAL,2011,169,44,32,33,0.2603550295857988,0.1893491124260355,0.1952662721893491
PHI,2011,187,48,24,38,0.25668449197860965,0.12834224598930483,0.20320855614973263
TEN,2011,176,45,28,30,0.2556818181818182,0.1590909090909091,0.17045454545454544
CLE,2011,165,42,34,27,0.2545454545454545,0.20606060606060606,0.16363636363636364
BUF,2011,179,45,25,49,0.25139664804469275,0.13966480446927373,0.2737430167597765
ARI,2011,194,48,45,32,0.24742268041237114,0.23195876288659795,0.16494845360824742
WAS,2011,180,44,41,37,0.24444444444444444,0.22777777777777777,0.20555555555555555
IND,2011,173,41,34,44,0.23699421965317918,0.19653179190751446,0.2543352601156069
DEN,2011,190,45,37,34,0.23684210526315788,0.19473684210526315,0.17894736842105263
MIN,2011,176,40,33,44,0.22727272727272727,0.1875,0.25
LAC,2011,163,37,28,37,0.22699386503067484,0.17177914110429449,0.22699386503067484
NYG,2011,187,42,30,43,0.22459893048128343,0.16042780748663102,0.22994652406417113
NE,2011,173,38,22,39,0.21965317919075145,0.12716763005780346,0.2254335260115607
NO,2011,172,37,30,35,0.21511627906976744,0.1744186046511628,0.20348837209302326
LA,2011,179,37,36,38,0.20670391061452514,0.2011173184357542,0.2122905027932961
TB,2011,172,35,28,56,0.20348837209302326,0.16279069767441862,0.32558139534883723
GB,2011,176,32,27,39,0.18181818181818182,0.1534090909090909,0.2215909090909091
CAR,2011,161,29,30,46,0.18012422360248448,0.18633540372670807,0.2857142857142857
LV,2011,176,30,28,46,0.17045454545454544,0.1590909090909091,0.26136363636363635
NYJ,2010,193,64,23,35,0.3316062176165803,0.11917098445595854,0.18134715025906736
CHI,2010,185,61,27,27,0.32972972972972975,0.14594594594594595,0.14594594594594595
LAC,2010,174,55,16,31,0.3160919540229885,0.09195402298850575,0.1781609195402299
LV,2010,196,61,26,43,0.3112244897959184,0.1326530612244898,0.2193877551020408
NYG,2010,194,59,27,35,0.30412371134020616,0.13917525773195877,0.18041237113402062
MIN,2010,175,52,22,34,0.29714285714285715,0.12571428571428572,0.19428571428571428
WAS,2010,193,56,37,38,0.29015544041450775,0.19170984455958548,0.19689119170984457
LA,2010,183,52,38,28,0.28415300546448086,0.20765027322404372,0.15300546448087432
SEA,2010,183,51,29,44,0.2786885245901639,0.15846994535519127,0.24043715846994534
MIA,2010,169,47,29,30,0.2781065088757396,0.17159763313609466,0.17751479289940827
SF,2010,187,52,31,34,0.27807486631016043,0.1657754010695187,0.18181818181818182
GB,2010,180,50,28,22,0.2777777777777778,0.15555555555555556,0.12222222222222222
CIN,2010,172,47,31,36,0.27325581395348836,0.18023255813953487,0.20930232558139536
JAX,2010,165,45,25,46,0.2727272727272727,0.15151515151515152,0.2787878787878788
KC,2010,181,49,21,34,0.27071823204419887,0.11602209944751381,0.1878453038674033
BAL,2010,176,47,32,25,0.26704545454545453,0.18181818181818182,0.14204545454545456
IND,2010,168,44,34,35,0.2619047619047619,0.20238095238095238,0.20833333333333334
PIT,2010,172,44,29,20,0.2558139534883721,0.1686046511627907,0.11627906976744186
DEN,2010,189,48,35,52,0.25396825396825395,0.18518518518518517,0.2751322751322751
PHI,2010,186,47,20,42,0.25268817204301075,0.10752688172043011,0.22580645161290322
CAR,2010,184,44,30,39,0.2391304347826087,0.16304347826086957,0.21195652173913043
DET,2010,182,43,19,41,0.23626373626373626,0.1043956043956044,0.22527472527472528
NO,2010,166,39,34,26,0.23493975903614459,0.20481927710843373,0.1566265060240964
ATL,2010,173,40,22,32,0.23121387283236994,0.12716763005780346,0.18497109826589594
BUF,2010,181,41,37,46,0.2265193370165746,0.20441988950276244,0.2541436464088398
DAL,2010,175,38,26,44,0.21714285714285714,0.14857142857142858,0.25142857142857145
TEN,2010,177,38,45,30,0.21468926553672316,0.2542372881355932,0.1694915254237288
ARI,2010,194,41,50,41,0.211340206185567,0.25773195876288657,0.211340206185567
CLE,2010,166,32,35,33,0.1927710843373494,0.21084337349397592,0.19879518072289157
TB,2010,166,32,20,34,0.1927710843373494,0.12048192771084337,0.20481927710843373
NE,2010,174,33,26,35,0.1896551724137931,0.14942528735632185,0.20114942528735633
HOU,2010,165,28,27,48,0.1696969696969697,0.16363636363636364,0.2909090909090909
NYJ,2009,182,65,22,19,0.35714285714285715,0.12087912087912088,0.1043956043956044
MIN,2009,182,64,25,30,0.3516483516483517,0.13736263736263737,0.16483516483516483
SEA,2009,186,59,29,44,0.3172043010752688,0.15591397849462366,0.23655913978494625
SF,2009,194,61,31,25,0.31443298969072164,0.15979381443298968,0.12886597938144329
HOU,2009,175,53,23,36,0.3028571428571429,0.13142857142857142,0.2057142857142857
CIN,2009,173,50,24,29,0.28901734104046245,0.13872832369942195,0.1676300578034682
PIT,2009,170,47,28,28,0.27647058823529413,0.16470588235294117,0.16470588235294117
KC,2009,192,53,36,43,0.2760416666666667,0.1875,0.22395833333333334
LV,2009,181,48,38,40,0.26519337016574585,0.20994475138121546,0.22099447513812154
NE,2009,170,45,18,31,0.2647058823529412,0.10588235294117647,0.18235294117647058
DEN,2009,178,47,31,29,0.2640449438202247,0.17415730337078653,0.16292134831460675
LAC,2009,163,43,27,33,0.26380368098159507,0.1656441717791411,0.20245398773006135
PHI,2009,192,50,24,38,0.2604166666666667,0.125,0.19791666666666666
NYG,2009,174,45,21,52,0.25862068965517243,0.1206896551724138,0.2988505747126437
BUF,2009,180,46,26,33,0.25555555555555554,0.14444444444444443,0.18333333333333332
DAL,2009,174,44,25,26,0.25287356321839083,0.14367816091954022,0.14942528735632185
CHI,2009,182,46,32,43,0.25274725274725274,0.17582417582417584,0.23626373626373626
DET,2009,178,44,32,53,0.24719101123595505,0.1797752808988764,0.29775280898876405
MIA,2009,178,44,38,39,0.24719101123595505,0.21348314606741572,0.21910112359550563
JAX,2009,158,39,27,40,0.2468354430379747,0.17088607594936708,0.25316455696202533
NO,2009,184,45,31,34,0.24456521739130435,0.16847826086956522,0.18478260869565216
BAL,2009,176,43,26,25,0.24431818181818182,0.14772727272727273,0.14204545454545456
CLE,2009,176,43,36,35,0.24431818181818182,0.20454545454545456,0.19886363636363635
LA,2009,169,41,21,46,0.24260355029585798,0.1242603550295858,0.27218934911242604
TB,2009,178,43,29,43,0.24157303370786518,0.16292134831460675,0.24157303370786518
WAS,2009,165,39,34,29,0.23636363636363636,0.20606060606060606,0.17575757575757575
ARI,2009,192,45,25,35,0.234375,0.13020833333333334,0.18229166666666666
GB,2009,182,42,16,34,0.23076923076923078,0.08791208791208792,0.18681318681318682
ATL,2009,165,38,27,35,0.23030303030303031,0.16363636363636364,0.21212121212121213
IND,2009,170,39,34,29,0.22941176470588234,0.2,0.17058823529411765
TEN,2009,181,41,26,47,0.2265193370165746,0.143646408839779,0.2596685082872928
CAR,2009,172,38,27,29,0.22093023255813954,0.1569767441860465,0.1686046511627907
WAS,2008,165,58,25,28,0.3515151515151515,0.15151515151515152,0.1696969696969697
BAL,2008,188,65,20,20,0.34574468085106386,0.10638297872340426,0.10638297872340426
PIT,2008,180,62,27,19,0.34444444444444444,0.15,0.10555555555555556
PHI,2008,189,62,27,26,0.328042328042328,0.14285714285714285,0.13756613756613756
NE,2008,166,53,21,35,0.3192771084337349,0.12650602409638553,0.21084337349397592
TB,2008,180,54,30,30,0.3,0.16666666666666666,0.16666666666666666
SF,2008,177,51,42,36,0.288135593220339,0.23728813559322035,0.2033898305084746
DAL,2008,176,50,43,30,0.2840909090909091,0.24431818181818182,0.17045454545454544
JAX,2008,162,46,29,39,0.2839506172839506,0.17901234567901234,0.24074074074074073
CHI,2008,196,54,32,37,0.2755102040816326,0.16326530612244897,0.18877551020408162
GB,2008,179,48,29,42,0.2681564245810056,0.16201117318435754,0.2346368715083799
NYG,2008,162,43,21,31,0.2654320987654321,0.12962962962962962,0.19135802469135801
NO,2008,164,43,36,35,0.2621951219512195,0.21951219512195122,0.21341463414634146
CIN,2008,176,46,23,38,0.26136363636363635,0.13068181818181818,0.2159090909090909
CAR,2008,177,46,26,33,0.2598870056497175,0.14689265536723164,0.1864406779661017
ATL,2008,170,44,24,34,0.25882352941176473,0.1411764705882353,0.2
BUF,2008,167,43,40,32,0.25748502994011974,0.23952095808383234,0.19161676646706588
TEN,2008,185,47,28,23,0.25405405405405407,0.15135135135135136,0.12432432432432433
SEA,2008,177,44,40,38,0.24858757062146894,0.22598870056497175,0.21468926553672316
MIN,2008,184,45,35,25,0.24456521739130435,0.19021739130434784,0.1358695652173913
LA,2008,173,40,32,46,0.23121387283236994,0.18497109826589594,0.2658959537572254
ARI,2008,171,38,26,49,0.2222222222222222,0.15204678362573099,0.28654970760233917
LV,2008,180,40,28,43,0.2222222222222222,0.15555555555555556,0.2388888888888889
HOU,2008,168,37,29,42,0.22023809523809523,0.17261904761904762,0.25
DET,2008,166,36,28,56,0.21686746987951808,0.1686746987951807,0.3373493975903614
DEN,2008,157,33,32,46,0.21019108280254778,0.20382165605095542,0.2929936305732484
IND,2008,145,30,36,24,0.20689655172413793,0.2482758620689655,0.16551724137931034
NYJ,2008,170,35,27,31,0.20588235294117646,0.1588235294117647,0.18235294117647058
MIA,2008,158,32,31,28,0.20253164556962025,0.1962025316455696,0.17721518987341772
KC,2008,169,34,35,45,0.20118343195266272,0.20710059171597633,0.26627218934911245
LAC,2008,163,32,28,36,0.19631901840490798,0.17177914110429449,0.22085889570552147
CLE,2008,159,26,26,34,0.16352201257861634,0.16352201257861634,0.2138364779874214
CHI,2007,206,68,31,35,0.3300970873786408,0.15048543689320387,0.16990291262135923
PIT,2007,166,51,20,28,0.3072289156626506,0.12048192771084337,0.1686746987951807
NYG,2007,183,56,27,36,0.30601092896174864,0.14754098360655737,0.19672131147540983
KC,2007,178,52,37,28,0.29213483146067415,0.20786516853932585,0.15730337078651685
LA,2007,178,52,38,40,0.29213483146067415,0.21348314606741572,0.2247191011235955
BAL,2007,185,54,43,36,0.2918918918918919,0.23243243243243245,0.1945945945945946
TEN,2007,178,51,25,32,0.28651685393258425,0.1404494382022472,0.1797752808988764
CAR,2007,181,51,32,35,0.281767955801105,0.17679558011049723,0.19337016574585636
WAS,2007,183,51,33,29,0.2786885245901639,0.18032786885245902,0.15846994535519127
ARI,2007,182,50,32,38,0.27472527472527475,0.17582417582417584,0.2087912087912088
PHI,2007,173,46,37,24,0.2658959537572254,0.2138728323699422,0.13872832369942195
ATL,2007,170,45,27,38,0.2647058823529412,0.1588235294117647,0.2235294117647059
NE,2007,169,44,14,30,0.2603550295857988,0.08284023668639054,0.17751479289940827
SEA,2007,202,52,26,31,0.25742574257425743,0.12871287128712872,0.15346534653465346
MIN,2007,188,48,32,29,0.2553191489361702,0.1702127659574468,0.15425531914893617
CLE,2007,179,45,31,37,0.25139664804469275,0.17318435754189945,0.20670391061452514
TB,2007,173,43,17,29,0.24855491329479767,0.09826589595375723,0.1676300578034682
GB,2007,177,43,27,29,0.24293785310734464,0.15254237288135594,0.1638418079096045
LAC,2007,179,43,18,31,0.24022346368715083,0.1005586592178771,0.17318435754189945
DEN,2007,168,40,31,39,0.23809523809523808,0.18452380952380953,0.23214285714285715
SF,2007,183,43,33,33,0.23497267759562843,0.18032786885245902,0.18032786885245902
NO,2007,171,40,29,39,0.23391812865497075,0.1695906432748538,0.22807017543859648
LV,2007,178,41,31,41,0.2303370786516854,0.17415730337078653,0.2303370786516854
MIA,2007,161,37,30,43,0.22981366459627328,0.18633540372670807,0.2670807453416149
DAL,2007,170,39,29,30,0.22941176470588234,0.17058823529411765,0.17647058823529413
DET,2007,179,40,25,49,0.22346368715083798,0.13966480446927373,0.2737430167597765
HOU,2007,169,37,33,40,0.21893491124260356,0.1952662721893491,0.23668639053254437
JAX,2007,162,34,22,31,0.20987654320987653,0.13580246913580246,0.19135802469135801
CIN,2007,166,34,25,37,0.20481927710843373,0.15060240963855423,0.22289156626506024
IND,2007,157,32,20,26,0.20382165605095542,0.12738853503184713,0.16560509554140126
