team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
TB,2014,175,50,23,27,0.2857142857142857,0.13142857142857142,0.15428571428571428
JAX,2014,191,55,25,24,0.2879581151832461,0.13089005235602094,0.1256544502617801
NYJ,2014,181,53,37,27,0.292817679558011,0.20441988950276244,0.14917127071823205
TEN,2014,177,53,22,26,0.2994350282485876,0.12429378531073447,0.14689265536723164
CLE,2014,187,57,31,29,0.3048128342245989,0.1657754010695187,0.15508021390374332
BUF,2014,186,57,36,29,0.3064516129032258,0.1935483870967742,0.15591397849462366
LV,2014,189,74,19,25,0.3915343915343915,0.10052910052910052,0.13227513227513227
LAC,2013,162,25,37,41,0.15432098765432098,0.22839506172839505,0.25308641975308643
DEN,2013,187,31,24,71,0.1657754010695187,0.12834224598930483,0.37967914438502676
DET,2013,185,38,22,43,0.20540540540540542,0.11891891891891893,0.23243243243243245
PHI,2013,189,40,28,51,0.21164021164021163,0.14814814814814814,0.2698412698412698
HOU,2013,197,43,33,26,0.2182741116751269,0.16751269035532995,0.1319796954314721
NE,2013,186,41,39,42,0.22043010752688172,0.20967741935483872,0.22580645161290322
ATL,2013,173,39,27,37,0.2254335260115607,0.15606936416184972,0.2138728323699422
GB,2013,175,40,36,42,0.22857142857142856,0.2057142857142857,0.24
CHI,2013,172,40,27,44,0.23255813953488372,0.1569767441860465,0.2558139534883721
CAR,2013,158,37,26,37,0.23417721518987342,0.16455696202531644,0.23417721518987342
KC,2013,184,44,26,41,0.2391304347826087,0.14130434782608695,0.22282608695652173
ARI,2013,188,45,35,36,0.2393617021276596,0.18617021276595744,0.19148936170212766
NO,2013,167,41,31,49,0.24550898203592814,0.18562874251497005,0.2934131736526946
DAL,2013,174,44,28,45,0.25287356321839083,0.16091954022988506,0.25862068965517243
CLE,2013,189,48,25,30,0.25396825396825395,0.13227513227513227,0.15873015873015872
